rank,window_start,score,n_nodes,n_edges,split
1,211200,9478.7109375,4626,171100,train
2,208800,414.49932861328125,4530,52881,train
3,577800,316.1223449707031,5421,54111,test
4,560700,153.732666015625,6282,52732,test
5,226200,124.37203216552734,4992,38481,train
6,139800,123.00601196289062,5611,46674,train
7,32400,113.76525115966797,4503,45436,train
8,219000,101.41829681396484,4745,36867,train
9,209100,87.16484069824219,4616,41740,train
10,121800,83.9620361328125,5169,43550,train
11,477000,83.53095245361328,5476,59170,test
12,119400,79.19184875488281,4760,70655,train
13,492900,68.43868255615234,4966,39514,test
14,140100,59.685306549072266,5176,41667,train
15,6000,50.770538330078125,1803,11037,train
16,40200,47.09505844116211,4485,41192,train
17,94500,47.036643981933594,3435,149448,train
18,60900,44.55828094482422,4098,53301,train
19,34500,39.558406829833984,4433,40830,train
20,491700,36.722373962402344,5038,73539,test
21,85200,35.8492546081543,3406,114390,train
22,142500,33.209110260009766,4841,38719,train
23,546300,33.16065979003906,5820,91780,test
24,210300,31.621946334838867,4439,38770,train
25,547800,31.28360939025879,5634,116874,test
26,93900,31.126482009887695,3396,111102,train
27,547500,29.409774780273438,5384,131221,test
28,26400,29.234495162963867,3046,89236,train
29,32100,27.976470947265625,4509,43976,train
30,57900,26.79732894897461,4440,34700,train
31,25800,26.308183670043945,2899,81950,train
32,464700,23.827720642089844,5367,45514,test
33,45600,23.624841690063477,4783,44170,train
34,371400,23.151195526123047,3333,52720,train
35,497400,21.778146743774414,4372,56683,test
36,207900,21.62673568725586,4998,55349,train
37,29400,21.548587799072266,3985,83980,train
38,57300,20.87006378173828,4618,37581,train
39,371700,20.63345718383789,3191,46699,train
40,461400,20.58153533935547,5122,118082,test
41,369000,19.80295753479004,3228,41695,train
42,497100,19.7767276763916,4379,60673,test
43,369300,19.670503616333008,3287,40962,train
44,492000,19.562763214111328,5300,63646,test
45,93600,19.318513870239258,3591,84400,train
46,548100,18.952165603637695,5451,77789,test
47,365700,18.95028305053711,3286,40561,train
48,365400,18.817516326904297,3213,41346,train
49,9300,18.6275691986084,1423,8371,train
50,374100,18.623241424560547,3306,41784,train
51,367200,18.574857711791992,3274,42388,train
52,1200,18.541112899780273,1402,8281,train
53,114900,18.526405334472656,4427,39928,train
54,372000,18.51312828063965,3290,41526,train
55,372900,18.495912551879883,3304,41766,train
56,2100,18.458101272583008,1403,8370,train
57,542400,18.454511642456055,5015,106313,test
58,369600,18.381053924560547,3540,43922,train
59,372600,18.355670928955078,3293,42180,train
60,372300,18.344097137451172,3284,41080,train
61,518400,18.3027400970459,4377,51478,test
62,5700,18.25094985961914,1409,8564,train
63,365100,18.19523811340332,3263,40386,train
64,370800,18.116159439086914,3425,42828,train
65,4800,18.092792510986328,1421,8808,train
66,115800,17.93902015686035,4459,98582,train
67,138000,17.827409744262695,4990,107051,train
68,369900,17.80526351928711,3995,46711,train
69,8400,17.79180335998535,1443,8994,train
70,12900,17.728927612304688,1406,8731,train
71,368700,17.718050003051758,3284,41056,train
72,19200,17.69829559326172,1448,9133,train
73,371100,17.619918823242188,3444,42276,train
74,1500,17.60946273803711,1494,8608,train
75,15600,17.57712745666504,1412,8814,train
76,370200,17.56257438659668,3593,42819,train
77,12000,17.4988956451416,1412,8811,train
78,4500,17.48475456237793,1380,8358,train
79,11100,17.477548599243164,1446,8489,train
80,9000,17.349109649658203,1443,8984,train
81,370500,17.345788955688477,3441,42331,train
82,12600,17.323333740234375,1421,8925,train
83,367800,17.31838035583496,3343,41611,train
84,364800,17.311267852783203,3299,41687,train
85,5400,17.292720794677734,1425,9044,train
86,374400,17.28237533569336,3439,41885,train
87,366900,17.281967163085938,3492,42124,train
88,374700,17.257057189941406,3404,42849,train
89,366000,17.243776321411133,3599,43718,train
90,16500,17.242177963256836,1401,8733,train
91,368400,17.23609161376953,3298,41576,train
92,18900,17.22225570678711,1460,9157,train
93,366600,17.19973373413086,3661,43164,train
94,900,17.197105407714844,1406,8603,train
95,121500,17.16953468322754,5447,48288,train
96,373800,17.029891967773438,3697,44604,train
97,11700,16.943979263305664,1408,8668,train
98,507000,16.854543685913086,4497,45850,test
99,367500,16.817230224609375,3324,41284,train
100,12300,16.730430603027344,1478,9098,train
