dataset,train_ratio,seed,model,index,val_score,y_val,test_score,y_test
wget,0.8,42,graphcl,0,0.7113766670227051,0,0.39127153158187866,0
wget,0.8,42,graphcl,1,0.38653355836868286,0,0.6162492036819458,0
wget,0.8,42,graphcl,2,0.3860138952732086,0,0.5382530093193054,1
wget,0.8,42,graphcl,3,0.4865170419216156,1,0.7389556765556335,0
wget,0.8,42,graphcl,4,0.5485436320304871,1,0.5951468348503113,0
wget,0.8,42,graphcl,5,0.7017368078231812,0,0.6708170771598816,0
wget,0.8,42,graphcl,6,0.610275387763977,0,0.47064605355262756,0
wget,0.8,42,graphcl,7,0.37350285053253174,0,0.7406352758407593,0
wget,0.8,42,graphcl,8,0.35519713163375854,0,0.32986724376678467,0
wget,0.8,42,graphcl,9,0.743756115436554,0,0.29519498348236084,0
wget,0.8,42,graphcl,10,0.7261704206466675,1,0.3830748200416565,0
wget,0.8,42,graphcl,11,0.9879916906356812,0,0.6841973066329956,1
wget,0.8,42,graphcl,12,0.5679476261138916,0,0.588253378868103,0
wget,0.8,42,graphcl,13,0.6983112692832947,0,0.7231007814407349,0
wget,0.8,42,graphcl,14,0.5007489919662476,0,0.5791746973991394,0
wget,0.8,43,graphcl,0,1.0442252159118652,0,0.38207170367240906,0
wget,0.8,43,graphcl,1,0.4178779125213623,0,0.5562782883644104,0
wget,0.8,43,graphcl,2,0.8884347081184387,0,0.5929495096206665,1
wget,0.8,43,graphcl,3,0.5111739039421082,0,0.6267517805099487,0
wget,0.8,43,graphcl,4,0.6453372240066528,0,0.6189684271812439,0
wget,0.8,43,graphcl,5,1.39214289188385,0,0.6085344552993774,0
wget,0.8,43,graphcl,6,0.5470890402793884,0,0.5788447856903076,0
wget,0.8,43,graphcl,7,0.21606960892677307,0,0.6435725092887878,0
wget,0.8,43,graphcl,8,0.5360907316207886,1,0.5182972550392151,0
wget,0.8,43,graphcl,9,0.33085960149765015,0,0.778525710105896,1
wget,0.8,43,graphcl,10,0.5767871141433716,1,0.6116657257080078,0
wget,0.8,43,graphcl,11,0.31671008467674255,0,0.8664728999137878,0
wget,0.8,43,graphcl,12,0.6408398151397705,0,0.7328923940658569,0
wget,0.8,43,graphcl,13,0.31083574891090393,0,0.4465838372707367,0
wget,0.8,43,graphcl,14,1.046844482421875,1,0.3728870749473572,0
wget,0.8,44,graphcl,0,0.3969709277153015,0,0.5676532983779907,0
wget,0.8,44,graphcl,1,0.6264565587043762,0,0.6405948400497437,0
wget,0.8,44,graphcl,2,0.609683632850647,0,0.4237307608127594,0
wget,0.8,44,graphcl,3,0.5852822065353394,0,0.338998943567276,0
wget,0.8,44,graphcl,4,0.306321382522583,0,0.5221742391586304,0
wget,0.8,44,graphcl,5,0.5162143111228943,1,0.4885047376155853,0
wget,0.8,44,graphcl,6,0.4711174964904785,0,0.6430187821388245,0
wget,0.8,44,graphcl,7,0.5138801336288452,0,0.5144038796424866,1
wget,0.8,44,graphcl,8,0.6487064361572266,0,0.43878793716430664,0
wget,0.8,44,graphcl,9,0.33208733797073364,0,0.6151191592216492,0
wget,0.8,44,graphcl,10,0.524093508720398,0,0.6268593668937683,0
wget,0.8,44,graphcl,11,0.6810353398323059,0,0.9029231071472168,0
wget,0.8,44,graphcl,12,0.5653201937675476,0,0.41630449891090393,0
wget,0.8,44,graphcl,13,0.7216677665710449,1,0.31172066926956177,0
wget,0.8,44,graphcl,14,0.513572096824646,1,0.5915799736976624,1
wget,0.8,45,graphcl,0,0.40419918298721313,0,0.4966611862182617,0
wget,0.8,45,graphcl,1,0.7738972306251526,0,0.5755998492240906,1
wget,0.8,45,graphcl,2,0.9660425186157227,1,0.32975417375564575,0
wget,0.8,45,graphcl,3,0.5955330729484558,0,0.8032601475715637,1
wget,0.8,45,graphcl,4,0.6936159729957581,0,0.36637479066848755,0
