split,graph,label,score,prediction,dataset,seed,mode,alpha,beta,hidden,embed_dim,temperature,drop_rate,mask_rate,edge_drop_rate,filtrations,threshold
val,streamspot_356,1,0.5744848370552063,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_272,0,0.7046245038509369,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_324,1,0.6874330163002014,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_440,0,0.03792238384485245,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_109,0,0.0634394034743309,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_292,0,0.32463101744651796,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_255,0,0.06701454520225525,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_350,1,0.5690000772476196,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_352,1,0.5589897751808166,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_304,1,0.5697832822799682,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_318,1,0.5890118598937988,1,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_163,0,0.040445663034915924,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
val,streamspot_244,0,0.2879612386226654,0,streamspot,42,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",0.44021000564098356
