path,dataset,method,train_scenario,test_scenario,train_degradation_rate,test_degradation_rate,accuracy,precision,recall,f1,fpr,auroc
results/ids_results.json,,,,,,,0.9,0.82,0.28,0.42,0.01,0.97
results/ids_topogcl_results.json,,,,,,,0.8989059080962801,0.813953488372093,0.24561403508771928,0.3773584905660377,0.008,0.9502771929824562
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.2.json,lanl,gnn,low_volume,low_volume,0.2,0.2,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_topogcl_clean_to_low_volume_0.2.json,lanl,topogcl,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/optc_topogcl_clean_to_low_volume_0.4.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/lanl_gnn_clean_to_low_volume_0.2.json,lanl,gnn,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5.json,lanl,gnn,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_gnn_clean_to_low_volume_0.3.json,lanl,gnn,clean,low_volume,0.0,0.3,0.97,0.97,1.0,0.98,0.56,1.0
results/low_volume/lanl_gnn_clean_to_low_volume_0.0.json,lanl,gnn,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_topogcl_mild_to_severe_low_volume.json,lanl,topogcl,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1.json,lanl,topogcl,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/optc_topogcl_low_volume_to_low_volume_0.1.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.5.json,lanl,topogcl,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3.json,lanl,gnn,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/optc_topogcl_low_volume_to_low_volume_0.3.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.4.json,lanl,topogcl,low_volume,low_volume,0.4,0.4,1.0,1.0,1.0,1.0,0.0,1.0
results/low_volume/optc_topogcl_low_volume_to_low_volume_0.0.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/optc_topogcl_clean_to_low_volume_0.5.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/lanl_gnn_clean_to_low_volume_0.5.json,lanl,gnn,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0
results/low_volume/optc_topogcl_low_volume_to_low_volume_0.5.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/low_volume/lanl_topogcl_clean_to_low_volume_0.5.json,lanl,topogcl,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0
results/low_volume/lanl_gnn_clean_to_low_volume_0.1.json,lanl,gnn,clean,low_volume,0.0,0.1,0.97,0.97,1.0,0.99,0.44,1.0
