dataset,method,train_scenario,test_scenario,train_degradation_rate,test_degradation_rate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,auroc_mean,auroc_std
lanl,gnn,clean,low_volume,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,clean,low_volume,0.0,0.1,0.945,0.012247448713915908,0.945,0.012247448713915908,1.0,0.0,0.9733333333333333,0.008164965809277273,0.9066666666666666,0.2286190426597633,1.0,0.0
lanl,gnn,clean,low_volume,0.0,0.2,0.9499999999999998,0.024494897427831803,0.9499999999999998,0.024494897427831803,1.0,0.0,0.975,0.012247448713915908,0.8033333333333333,0.3946475220581863,1.0,0.0
lanl,gnn,clean,low_volume,0.0,0.3,0.9483333333333333,0.011690451944500128,0.9483333333333333,0.011690451944500128,1.0,0.0,0.9733333333333333,0.005163977794943224,0.8616666666666667,0.17668238923748647,1.0,0.0
lanl,gnn,clean,low_volume,0.0,0.4,0.955,0.01974841765813153,0.955,0.01974841765813153,1.0,0.0,0.9783333333333334,0.009831920802501745,0.7416666666666667,0.3281717030255148,1.0,0.0
lanl,gnn,clean,low_volume,0.0,0.5,0.9485714285714285,0.02267786838055365,0.9485714285714285,0.02267786838055365,1.0,0.0,0.9742857142857143,0.011338934190276834,0.8657142857142858,0.35528660462867356,1.0,0.0
lanl,gnn,low_volume,low_volume,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,low_volume,low_volume,0.1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,low_volume,low_volume,0.2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,low_volume,low_volume,0.2,0.4,0.9983333333333334,0.004082482904638636,0.9983333333333334,0.004082482904638636,1.0,0.0,0.9983333333333334,0.004082482904638636,0.03833333333333334,0.06882344561751227,1.0,0.0
lanl,gnn,low_volume,low_volume,0.3,0.3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,low_volume,low_volume,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,gnn,low_volume,low_volume,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.3,0.9916666666666667,0.01602081978759724,0.9916666666666667,0.01602081978759724,1.0,0.0,0.9966666666666667,0.008164965809277277,0.13,0.26817904466978776,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.4,0.9716666666666667,0.025625508125043446,0.9716666666666667,0.025625508125043446,1.0,0.0,0.985,0.012247448713915908,0.4816666666666667,0.41431469520965175,1.0,0.0
lanl,topogcl,clean,low_volume,0.0,0.5,0.9399999999999998,0.0,0.9399999999999998,0.0,1.0,0.0,0.97,0.0,1.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.2,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.3,0.3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
lanl,topogcl,low_volume,low_volume,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,,,,,,0.7192751641137856,0.24428552731924905,0.8046468561584841,0.16172047291507388,0.4140448343079922,0.477324500607749,0.4315638526318579,0.46724713990795524,0.0057777777777777775,0.004681947769960161,0.9786265886939572,0.017494835047474358
