path,dataset,method,seed,train_scenario,test_scenario,train_degradation_rate,test_degradation_rate,accuracy,precision,recall,f1,fpr,auroc,benign_train_min,benign_train_mean,benign_train_max,benign_test_min,benign_test_mean,benign_test_max,malicious_min,malicious_mean,malicious_max
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.2.json,lanl,gnn,,low_volume,low_volume,0.2,0.2,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_topogcl_clean_to_low_volume_0.2.json,lanl,topogcl,42.0,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.0_seed44.json,lanl,gnn,44.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.38e-06,8.845e-05,0.00462445,3.78e-06,3.897e-05,0.00021021,0.0104723,0.0396478,0.09560848
results/low_volume/lanl_gnn_clean_to_low_volume_0.3_seed42.json,lanl,gnn,42.0,clean,low_volume,0.0,0.3,0.94,0.94,1.0,0.97,1.0,1.0,2.55e-06,8.632e-05,0.00440756,0.00230755,0.00343516,0.00439479,0.0049897,0.03230312,0.07586806
results/low_volume/lanl_topogcl_clean_to_low_volume_0.4_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.4,1.0,1.0,1.0,1.0,0.06,1.0,0.0007596,0.00633434,0.09250338,0.03469124,0.03717543,0.0422156,0.11274476,0.21267896,0.40569338
results/low_volume/lanl_gnn_clean_to_low_volume_0.2.json,lanl,gnn,,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.5_seed43.json,lanl,topogcl,43.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.00123035,0.00689899,0.09303434,0.00285722,0.00805688,0.02047064,0.1087687,0.21456039,0.37471685
results/low_volume/debug_lanl_gnn_low_volume_to_low_volume_0.5_seed42.json,lanl,gnn,42.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,2.23e-06,0.00010838,0.00551644,5.47e-06,0.00015319,0.00067237,0.01905487,0.06318329,0.14353061
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5_seed42.json,lanl,gnn,42.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,2.23e-06,0.00010838,0.00551644,5.47e-06,0.00015319,0.00067237,0.01905487,0.06318329,0.14353061
results/low_volume/lanl_topogcl_clean_to_low_volume_0.0_seed43.json,lanl,topogcl,43.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.00105631,0.00668522,0.09583136,0.00365012,0.00897961,0.01907585,0.14744668,0.2352731,0.34143487
results/low_volume/lanl_gnn_clean_to_low_volume_0.3_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.3,0.95,0.95,1.0,0.98,0.78,1.0,1.38e-06,8.845e-05,0.00462445,0.00099688,0.00188942,0.00282355,0.00665867,0.03504979,0.07296804
results/low_volume/lanl_gnn_clean_to_low_volume_0.4_seed42.json,lanl,gnn,42.0,clean,low_volume,0.0,0.4,0.94,0.94,1.0,0.97,1.0,1.0,2.55e-06,8.632e-05,0.00440756,0.002094,0.00287972,0.00362867,0.01056485,0.03158965,0.07586806
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.0_seed46.json,lanl,gnn,46.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.16e-06,7.741e-05,0.00403176,8.7e-06,4.819e-05,0.00022757,0.00818514,0.03100273,0.07601723
results/low_volume/lanl_topogcl_clean_to_low_volume_0.5_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0,0.0007596,0.00633434,0.09250338,0.04374625,0.04629255,0.05118446,0.11274476,0.211861,0.40569338
results/low_volume/lanl_gnn_clean_to_low_volume_0.1_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.1,0.94,0.94,1.0,0.97,1.0,1.0,1.38e-06,8.845e-05,0.00462445,0.00232737,0.00395812,0.00559418,0.00665867,0.03538339,0.07296804
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.2_seed44.json,lanl,topogcl,44.0,low_volume,low_volume,0.2,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.00096983,0.006445,0.09206868,0.00333725,0.00903856,0.02064239,0.10378966,0.18976655,0.30529398
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.0_seed45.json,lanl,gnn,45.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.2e-07,8.935e-05,0.00473867,9.5e-06,5.147e-05,0.00025402,0.01164267,0.03351663,0.07503449
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5_seed46.json,lanl,gnn,46.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,4.752e-05,9.631e-05,0.00247125,4.761e-05,0.0001035,0.0003311,0.00775325,0.02404267,0.05493107
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5.json,lanl,gnn,,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.3.json,lanl,gnn,,clean,low_volume,0.0,0.3,0.97,0.97,1.0,0.98,0.56,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.0.json,lanl,gnn,,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.3_seed45.json,lanl,gnn,45.0,clean,low_volume,0.0,0.3,0.95,0.95,1.0,0.97,0.83,1.0,4.2e-07,8.935e-05,0.00473867,0.00136942,0.0020562,0.00292757,0.00743472,0.02974211,0.05562712
results/low_volume/lanl_topogcl_mild_to_severe_low_volume.json,lanl,topogcl,42.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1.json,lanl,topogcl,42.0,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.5_seed42.json,lanl,topogcl,42.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.00087301,0.0064114,0.08628783,0.00332265,0.00727043,0.0169257,0.07721933,0.18943815,0.38959196
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0007596,0.00633434,0.09250338,0.00858053,0.01321599,0.0199818,0.12204973,0.21358724,0.3733356
results/low_volume/lanl_topogcl_clean_to_low_volume_0.2_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0007596,0.00633434,0.09250338,0.01695165,0.0203528,0.02645203,0.12204973,0.21338269,0.38166037
results/low_volume/lanl_gnn_clean_to_low_volume_0.4_seed43.json,lanl,gnn,43.0,clean,low_volume,0.0,0.4,0.94,0.94,1.0,0.97,1.0,1.0,2.9e-07,6.506e-05,0.0033267,0.00234969,0.00286076,0.00309222,0.0105413,0.02603752,0.05443863
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.4_seed42.json,lanl,topogcl,42.0,low_volume,low_volume,0.4,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.00105766,0.00625094,0.08383558,0.00302728,0.00725885,0.01659945,0.09458768,0.18825363,0.37366942
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.1_seed44.json,lanl,topogcl,44.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00092606,0.00619206,0.08992898,0.00327716,0.00930157,0.02003293,0.11041197,0.18887612,0.29368994
results/low_volume/lanl_topogcl_clean_to_low_volume_0.4_seed43.json,lanl,topogcl,43.0,clean,low_volume,0.0,0.4,0.94,0.94,1.0,0.97,1.0,1.0,0.00105631,0.00668522,0.09583136,0.04673474,0.05003061,0.05524061,0.14744668,0.234536,0.39404783
results/low_volume/lanl_gnn_clean_to_low_volume_0.2_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.2,0.94,0.94,1.0,0.97,0.94,1.0,1.38e-06,8.845e-05,0.00462445,0.00149219,0.00271968,0.00402886,0.00665867,0.03453359,0.07296804
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.39e-06,5.362e-05,0.00263051,4.09e-06,8.342e-05,0.00031039,0.0136955,0.03194855,0.06056882
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.2_seed44.json,lanl,gnn,44.0,low_volume,low_volume,0.2,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.31e-06,0.00021205,0.01112961,8.21e-06,0.0003073,0.00128234,0.04771604,0.10493484,0.16639002
results/low_volume/lanl_topogcl_mild_to_severe_low_volume_seed42.json,lanl,topogcl,42.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.00110864,0.00617262,0.08563789,0.01780246,0.02044303,0.02628184,0.10433635,0.19327132,0.37534049
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.5.json,lanl,topogcl,42.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.1_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,1.56e-06,0.00012185,0.00632481,1.029e-05,0.00016564,0.0006788,0.02967168,0.06103785,0.09875597
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3.json,lanl,gnn,,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_topogcl_clean_to_low_volume_0.3_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.3,1.0,1.0,1.0,1.0,0.0,1.0,0.0007596,0.00633434,0.09250338,0.02593219,0.0284213,0.03382174,0.11274476,0.21269541,0.39792567
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.5_seed45.json,lanl,topogcl,45.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.00094546,0.00631872,0.08540566,0.0014661,0.00673582,0.01647531,0.0800409,0.1962623,0.3758519
results/low_volume/lanl_gnn_clean_to_low_volume_0.3_seed46.json,lanl,gnn,46.0,clean,low_volume,0.0,0.3,0.94,0.94,1.0,0.97,1.0,1.0,1.16e-06,7.741e-05,0.00403176,0.00144896,0.00202628,0.00261524,0.00556797,0.02810591,0.0575697
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.1_seed45.json,lanl,gnn,45.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,1.94e-06,0.00023213,0.01243713,1.309e-05,0.00028239,0.0012369,0.05285064,0.10587449,0.14065979
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3_seed45.json,lanl,gnn,45.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,2.29e-06,0.00014085,0.00741539,3.04e-06,0.00017405,0.0007457,0.03205303,0.06833292,0.10120694
results/low_volume/lanl_gnn_clean_to_low_volume_0.5_seed42.json,lanl,gnn,42.0,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0,2.55e-06,8.632e-05,0.00440756,0.00223263,0.00273766,0.00334793,0.01148337,0.03093176,0.07586806
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.2_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.2,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.62e-06,0.00010479,0.00537849,8.61e-06,0.00015106,0.00058482,0.02520591,0.05250227,0.0875093
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1_seed43.json,lanl,topogcl,43.0,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00105631,0.00668522,0.09583136,0.01190198,0.01671162,0.02540059,0.14744668,0.23507416,0.35996997
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.3_seed42.json,lanl,topogcl,42.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,0.00120926,0.00628542,0.08588824,0.00301108,0.00748684,0.01659051,0.09885833,0.19351672,0.37045684
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.1_seed42.json,lanl,topogcl,42.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00073942,0.0060838,0.08625406,0.00330311,0.00799427,0.01668409,0.11178046,0.19811516,0.36672312
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.4_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.4,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.51e-06,6.767e-05,0.00338192,3.95e-06,0.00010476,0.00037686,0.01601848,0.03792062,0.06930218
results/low_volume/lanl_topogcl_mild_to_severe_low_volume_seed44.json,lanl,topogcl,44.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.00096983,0.006445,0.09206868,0.01734313,0.02109633,0.02838891,0.10378966,0.1914683,0.32518172
results/low_volume/lanl_topogcl_clean_to_low_volume_0.2_seed44.json,lanl,topogcl,44.0,clean,low_volume,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.00081356,0.00622685,0.09192657,0.01561572,0.02084343,0.02878218,0.11399475,0.19233356,0.30163571
results/low_volume/lanl_topogcl_clean_to_low_volume_0.4_seed42.json,lanl,topogcl,42.0,clean,low_volume,0.0,0.4,0.98,0.98,1.0,0.99,0.33,1.0,0.00075329,0.0060588,0.08627501,0.03465275,0.03639734,0.04157865,0.10432544,0.1973213,0.40368727
results/low_volume/lanl_topogcl_clean_to_low_volume_0.0_seed44.json,lanl,topogcl,44.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.00081356,0.00622685,0.09192657,0.00376908,0.00980422,0.02003232,0.11075398,0.19042254,0.27499145
results/low_volume/lanl_topogcl_clean_to_low_volume_0.3_seed43.json,lanl,topogcl,43.0,clean,low_volume,0.0,0.3,0.99,0.99,1.0,1.0,0.11,1.0,0.00105631,0.00668522,0.09583136,0.03522437,0.03820616,0.04308219,0.14744668,0.23479508,0.37776354
results/low_volume/lanl_gnn_clean_to_low_volume_0.4_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.4,0.98,0.98,1.0,0.99,0.28,1.0,1.38e-06,8.845e-05,0.00462445,0.00089442,0.00143615,0.0020209,0.00665867,0.03370852,0.07296804
results/low_volume/lanl_gnn_clean_to_low_volume_0.2_seed42.json,lanl,gnn,42.0,clean,low_volume,0.0,0.2,0.94,0.94,1.0,0.97,1.0,1.0,2.55e-06,8.632e-05,0.00440756,0.00288149,0.00440235,0.00573915,0.0049897,0.03364456,0.07586806
results/low_volume/lanl_gnn_mild_to_severe_low_volume_seed44.json,lanl,gnn,44.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.31e-06,0.00021205,0.01112961,0.00048222,0.0014397,0.00293816,0.04696137,0.09460985,0.164857
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.4.json,lanl,topogcl,42.0,low_volume,low_volume,0.4,0.4,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.3_seed43.json,lanl,gnn,43.0,clean,low_volume,0.0,0.3,0.94,0.94,1.0,0.97,1.0,1.0,2.9e-07,6.506e-05,0.0033267,0.00180121,0.00242348,0.00284948,0.00483959,0.02535041,0.06363573
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3_seed44.json,lanl,gnn,44.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,8.9e-07,0.00015499,0.00794645,7.75e-06,0.000214,0.00090196,0.02539684,0.08192818,0.1393345
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.1_seed43.json,lanl,topogcl,43.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00096987,0.006942,0.09872356,0.00354981,0.00871716,0.01985078,0.13762905,0.23435456,0.35499015
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.0_seed45.json,lanl,topogcl,45.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0007596,0.00633434,0.09250338,0.00287281,0.00780296,0.01688381,0.12498572,0.21397513,0.36495632
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.1_seed44.json,lanl,gnn,44.0,low_volume,low_volume,0.1,0.1,1.0,1.0,1.0,1.0,0.0,1.0,2.07e-06,0.00024983,0.01317003,1.774e-05,0.00034406,0.00148345,0.06115649,0.12106768,0.18248892
results/low_volume/lanl_gnn_clean_to_low_volume_0.5_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.5,1.0,1.0,1.0,1.0,0.06,1.0,1.38e-06,8.845e-05,0.00462445,0.00118246,0.00138468,0.00175122,0.00665867,0.03306343,0.07296804
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.0_seed42.json,lanl,gnn,42.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.55e-06,8.632e-05,0.00440756,8.02e-06,4.909e-05,0.00020511,0.01036922,0.04000644,0.09092648
results/low_volume/lanl_topogcl_clean_to_low_volume_0.0_seed45.json,lanl,topogcl,45.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0007596,0.00633434,0.09250338,0.00287281,0.00780296,0.01688381,0.12498572,0.21397513,0.36495632
results/low_volume/lanl_gnn_mild_to_severe_low_volume_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.06,1.0,1.62e-06,0.00010479,0.00537849,0.00086752,0.00132511,0.00214825,0.02588891,0.05286475,0.0875093
results/low_volume/lanl_gnn_mild_to_severe_low_volume_seed46.json,lanl,gnn,46.0,low_volume,low_volume,0.2,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.96e-06,0.00014558,0.00766183,0.00070247,0.00133161,0.00250326,0.02876463,0.06347858,0.10975473
results/low_volume/lanl_gnn_clean_to_low_volume_0.5.json,lanl,gnn,,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.5_seed45.json,lanl,gnn,45.0,low_volume,low_volume,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.58e-06,7.448e-05,0.00377163,1.28e-06,9.271e-05,0.00042346,0.01667872,0.03827762,0.06893601
results/low_volume/lanl_gnn_clean_to_low_volume_0.2_seed45.json,lanl,gnn,45.0,clean,low_volume,0.0,0.2,0.94,0.94,1.0,0.97,0.94,1.0,4.2e-07,8.935e-05,0.00473867,0.00165241,0.00267482,0.00392964,0.00743472,0.03025216,0.05511873
results/low_volume/debug_lanl_gnn_low_volume_0.5_seed42.json,lanl,gnn,42.0,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0,2.55e-06,8.632e-05,0.00440756,0.00223263,0.00273766,0.00334793,0.01148337,0.03093176,0.07586806
results/low_volume/lanl_topogcl_clean_to_low_volume_0.5.json,lanl,topogcl,42.0,clean,low_volume,0.0,0.5,0.94,0.94,1.0,0.97,1.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.0_seed44.json,lanl,gnn,44.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.38e-06,8.845e-05,0.00462445,3.78e-06,3.897e-05,0.00021021,0.0104723,0.0396478,0.09560848
