dataset,seed,mode,index,val_score,y_val,test_score,y_test
wget,42,graph_topo,0,0.7687664330005646,0,0.8869567155838013,1
wget,42,graph_topo,1,0.2792254775762558,0,0.041258839517831804,0
wget,42,graph_topo,2,0.40464027523994445,0,0.4598228931427002,1
wget,42,graph_topo,3,0.5719100356101989,1,0.5936024069786072,1
wget,42,graph_topo,4,0.49555724263191225,1,0.7839482188224792,0
wget,42,graph_topo,5,0.4972373068332672,0,0.5707291275262832,0
wget,42,graph_topo,6,0.09322559386491776,1,0.4314150929450989,1
wget,42,graph_topo,7,0.05408211946487427,0,0.5553843438625335,1
wget,42,graph_topo,8,0.1086823433637619,1,0.6897878646850586,1
wget,42,graph_topo,9,0.794389522075653,1,0.13457781374454497,0
wget,42,graph_topo,10,,,0.3425272464752197,1
wget,42,graph_topo,11,,,0.34702301025390625,1
wget,42,graph_topo,12,,,0.578243899345398,1
wget,42,graph_topo,13,,,0.6728780746459961,0
wget,42,graph_topo,14,,,0.7846614718437195,1
wget,42,graph_topo,15,,,0.5389296293258667,0
wget,42,graph_topo,16,,,0.5588340044021607,0
wget,42,graph_topo,17,,,0.6076683938503266,0
wget,42,graph_topo,18,,,0.7897916913032532,0
wget,42,graph_topo,19,,,0.5716619372367859,0
wget,42,graph_topo,20,,,0.4170059084892273,0
wget,42,graph_topo,21,,,1.043599498271942,0
wget,42,graph_topo,22,,,0.5498916029930114,0
wget,42,graph_topo,23,,,0.10827686339616775,1
wget,42,graph_topo,24,,,0.06365925818681717,1
wget,42,graph_topo,25,,,0.5000836789608002,1
wget,42,graph_topo,26,,,0.5956719100475312,0
wget,42,graph_topo,27,,,0.2179637759923935,0
wget,42,graph_topo,28,,,0.12424670085310936,0
wget,42,graph_topo,29,,,0.5812430441379547,0
wget,42,graph_topo,30,,,0.7309438943862915,0
wget,42,graph_topo,31,,,0.7049278140068054,1
wget,42,graph_topo,32,,,0.6821666479110717,0
wget,42,graph_topo,33,,,0.2762146443128586,1
wget,42,graph_topo,34,,,0.25225753486156466,1
wget,42,graph_topo,35,,,0.44883295297622683,1
wget,42,graph_topo,36,,,0.5943578898906707,1
wget,42,graph_topo,37,,,0.47510183453559873,0
wget,42,graph_topo,38,,,0.20683772265911102,1
wget,42,graph_topo,39,,,0.08743265569210053,1
wget,43,graph_topo,0,0.6561378180980683,0,0.1766314059495926,1
wget,43,graph_topo,1,0.49935593008995055,1,0.4224872887134552,0
wget,43,graph_topo,2,0.36230920553207396,0,0.4050216287374496,0
wget,43,graph_topo,3,0.5004771545529365,0,0.037174416705965996,0
wget,43,graph_topo,4,0.07508758381009102,1,0.3894239366054535,0
wget,43,graph_topo,5,0.6206764936447143,1,0.037978681921958926,0
wget,43,graph_topo,6,0.4794218897819519,1,0.5066844612360001,0
wget,43,graph_topo,7,0.7481963157653808,0,0.6583988666534424,1
wget,43,graph_topo,8,0.3399985432624817,0,0.16802170127630234,0
wget,43,graph_topo,9,0.5153927803039551,1,0.39119507670402526,1
wget,43,graph_topo,10,,,0.6565667033195496,1
wget,43,graph_topo,11,,,0.7820812821388244,1
wget,43,graph_topo,12,,,0.2759727895259857,0
wget,43,graph_topo,13,,,0.21038910150527954,0
wget,43,graph_topo,14,,,0.05738390386104584,1
wget,43,graph_topo,15,,,0.46694228053092957,1
wget,43,graph_topo,16,,,0.3089193031191826,0
wget,43,graph_topo,17,,,0.8365912437438965,0
wget,43,graph_topo,18,,,0.6458115816116333,1
wget,43,graph_topo,19,,,0.408269202709198,1
wget,43,graph_topo,20,,,0.6044095039367676,1
wget,43,graph_topo,21,,,0.3810457229614258,1
wget,43,graph_topo,22,,,0.7391828656196594,1
wget,43,graph_topo,23,,,0.06047981157898903,0
wget,43,graph_topo,24,,,0.09041693732142449,1
wget,43,graph_topo,25,,,0.6835335850715637,1
wget,43,graph_topo,26,,,0.03095240704715252,0
wget,43,graph_topo,27,,,0.20762248635292052,1
wget,43,graph_topo,28,,,0.6140483021736145,1
wget,43,graph_topo,29,,,0.3341295659542084,0
wget,43,graph_topo,30,,,0.0752241350710392,1
wget,43,graph_topo,31,,,0.2187000870704651,0
wget,43,graph_topo,32,,,0.3235378861427307,0
wget,43,graph_topo,33,,,0.09346096664667129,0
wget,43,graph_topo,34,,,0.3651653379201889,1
wget,43,graph_topo,35,,,0.4322726517915726,0
wget,43,graph_topo,36,,,0.372246890515089,0
wget,43,graph_topo,37,,,0.08232249319553375,1
wget,43,graph_topo,38,,,0.4081751346588135,1
wget,43,graph_topo,39,,,1.0637445092201232,0
wget,44,graph_topo,0,1.1524059295654296,0,0.1535179764032364,1
wget,44,graph_topo,1,0.549473088979721,1,0.5254655212163926,0
wget,44,graph_topo,2,0.4560991287231445,0,0.4325968503952026,0
wget,44,graph_topo,3,0.31019640862941744,1,0.6486568093299866,1
wget,44,graph_topo,4,0.46311287879943847,0,0.09684594795107841,1
wget,44,graph_topo,5,0.10844085216522217,1,0.5279126524925232,1
wget,44,graph_topo,6,0.3790378987789154,1,0.37963528335094454,0
wget,44,graph_topo,7,0.39853649735450747,0,0.5942193150520325,1
wget,44,graph_topo,8,0.10121353566646576,1,0.6655849099159241,1
wget,44,graph_topo,9,0.9478693604469299,0,0.7930216550827026,1
wget,44,graph_topo,10,,,0.4193668067455292,0
wget,44,graph_topo,11,,,0.9119760036468506,1
wget,44,graph_topo,12,,,0.6583731919527054,0
wget,44,graph_topo,13,,,0.692542839050293,0
wget,44,graph_topo,14,,,0.6602320075035095,1
wget,44,graph_topo,15,,,0.3169828712940216,0
wget,44,graph_topo,16,,,0.3517472356557846,0
