dataset,train_ratio,seed,model,index,val_score,y_val,test_score,y_test
streamspot,0.8,42,graphcl,0,0.5557118654251099,0,0.6596376299858093,0
streamspot,0.8,42,graphcl,1,0.6641819477081299,0,0.5733054280281067,1
streamspot,0.8,42,graphcl,2,0.127443328499794,0,0.14988279342651367,0
streamspot,0.8,42,graphcl,3,0.6120197176933289,0,0.75469571352005,0
streamspot,0.8,42,graphcl,4,0.48481982946395874,0,0.7757272124290466,0
streamspot,0.8,42,graphcl,5,0.5419185161590576,0,0.2850712835788727,0
streamspot,0.8,42,graphcl,6,0.7661126852035522,1,0.7399328351020813,1
streamspot,0.8,42,graphcl,7,0.7849440574645996,1,0.5304617881774902,0
streamspot,0.8,42,graphcl,8,0.3202499449253082,0,0.3797670602798462,0
streamspot,0.8,42,graphcl,9,0.2259024977684021,0,0.8021857142448425,0
streamspot,0.8,42,graphcl,10,0.362485408782959,0,0.2853570878505707,0
streamspot,0.8,42,graphcl,11,0.7624781131744385,0,0.7627299427986145,1
streamspot,0.8,42,graphcl,12,0.6662408113479614,1,0.6965345740318298,0
streamspot,0.8,42,graphcl,13,0.7200185656547546,0,0.6193248629570007,0
streamspot,0.8,42,graphcl,14,0.6565283536911011,0,0.3909195363521576,0
streamspot,0.8,42,graphcl,15,0.24777838587760925,0,0.6894674897193909,1
streamspot,0.8,42,graphcl,16,0.6348883509635925,0,0.6016104817390442,0
streamspot,0.8,42,graphcl,17,0.29473111033439636,0,0.5720921158790588,0
streamspot,0.8,42,graphcl,18,0.7181904911994934,0,0.4994967579841614,0
streamspot,0.8,42,graphcl,19,0.6348193287849426,1,0.6009581089019775,0
streamspot,0.8,42,graphcl,20,0.4385645091533661,0,0.18367159366607666,0
streamspot,0.8,42,graphcl,21,0.7230404019355774,0,0.5603343844413757,0
streamspot,0.8,42,graphcl,22,0.6408990025520325,0,0.5738089680671692,1
streamspot,0.8,42,graphcl,23,0.6941490173339844,0,0.6757979393005371,0
streamspot,0.8,42,graphcl,24,0.32295840978622437,0,0.6301626563072205,0
streamspot,0.8,42,graphcl,25,0.9109129905700684,1,0.5925581455230713,0
streamspot,0.8,42,graphcl,26,0.7232056260108948,0,0.24853432178497314,0
streamspot,0.8,42,graphcl,27,0.6128371953964233,0,0.6862094402313232,0
