dataset,train_ratio,seed,model,index,val_score,y_val,test_score,y_test
streamspot,0.8,42,gnn,0,6.787149835207895e-12,0,0.0031599774956703186,0
streamspot,0.8,42,gnn,1,0.0035085962153971195,0,0.9992614388465881,1
streamspot,0.8,42,gnn,2,1.7706386643112637e-05,0,1.4301834198704455e-05,0
streamspot,0.8,42,gnn,3,0.0026080801617354155,0,1.523908083056469e-11,0
streamspot,0.8,42,gnn,4,3.1924823673534775e-08,0,0.0026762874331325293,0
streamspot,0.8,42,gnn,5,1.1303030760245747e-06,0,0.00021836257656104863,0
streamspot,0.8,42,gnn,6,0.9979729056358337,1,0.9984278678894043,1
streamspot,0.8,42,gnn,7,0.9973230957984924,1,2.0199220074346158e-10,0
streamspot,0.8,42,gnn,8,0.0004215891531202942,0,3.032559652638156e-05,0
streamspot,0.8,42,gnn,9,1.8095979612553492e-05,0,0.0003226413391530514,0
streamspot,0.8,42,gnn,10,0.0003250392328482121,0,0.00014575259410776198,0
streamspot,0.8,42,gnn,11,0.0016395819839090109,0,0.9985264539718628,1
streamspot,0.8,42,gnn,12,0.9991631507873535,1,1.0231653848821742e-12,0
streamspot,0.8,42,gnn,13,1.2535907034649796e-10,0,0.0017824227688834071,0
streamspot,0.8,42,gnn,14,0.0032076553907245398,0,8.60949782577336e-08,0
streamspot,0.8,42,gnn,15,5.690075340680778e-06,0,0.9971433281898499,1
streamspot,0.8,42,gnn,16,7.406973472068312e-12,0,2.135690957416614e-09,0
streamspot,0.8,42,gnn,17,0.00013258551189210266,0,1.1375120463619215e-11,0
streamspot,0.8,42,gnn,18,1.1148341798328243e-11,0,0.00012838163820561022,0
streamspot,0.8,42,gnn,19,0.9980300068855286,1,5.771897959583328e-10,0
streamspot,0.8,42,gnn,20,6.750174463832082e-08,0,1.6118538042064756e-05,0
streamspot,0.8,42,gnn,21,1.6949460932003113e-11,0,0.007173403166234493,0
streamspot,0.8,42,gnn,22,2.2403908589430088e-11,0,0.999334990978241,1
streamspot,0.8,42,gnn,23,4.0103139326674864e-05,0,1.0326979072231013e-12,0
streamspot,0.8,42,gnn,24,2.15712352655828e-05,0,2.343332645982077e-11,0
streamspot,0.8,42,gnn,25,0.9952552318572998,1,1.501896775835121e-07,0
streamspot,0.8,42,gnn,26,0.002847605384886265,0,1.2217422408866696e-05,0
streamspot,0.8,42,gnn,27,4.865773348683433e-07,0,0.015176529064774513,0
streamspot,0.8,42,gnn,28,3.2891547818714173e-10,0,9.890909069554255e-08,0
streamspot,0.8,42,gnn,29,7.172669575084001e-05,0,7.213468222744268e-08,0
streamspot,0.8,42,gnn,30,6.5994409936820375e-09,0,8.34101537838805e-12,0
streamspot,0.8,42,gnn,31,1.0553608120744684e-07,0,8.513208013027906e-05,0
streamspot,0.8,42,gnn,32,2.2035166693967767e-05,0,5.819716583643775e-11,0
streamspot,0.8,42,gnn,33,0.002145372563973069,0,0.0015578883467242122,0
streamspot,0.8,42,gnn,34,1.4090061085880734e-05,0,0.022901931777596474,0
streamspot,0.8,42,gnn,35,0.0002816527849063277,0,1.1751365214252019e-08,0
streamspot,0.8,42,gnn,36,9.278397556045093e-06,0,0.9994702935218811,1
streamspot,0.8,42,gnn,37,4.7448866098420694e-05,0,2.9676274948542414e-07,0
streamspot,0.8,42,gnn,38,0.9995414018630981,1,0.9945380091667175,1
streamspot,0.8,42,gnn,39,0.00093749730149284,0,0.00013340245641302317,0
streamspot,0.8,42,gnn,40,7.927951810415834e-05,0,0.9976414442062378,1
streamspot,0.8,42,gnn,41,8.401318336836994e-05,0,4.2134818301065025e-08,0
streamspot,0.8,42,gnn,42,1.049035063260817e-07,0,1.2514853551692795e-05,0
streamspot,0.8,42,gnn,43,0.00022413280385080725,0,0.004238548688590527,0
streamspot,0.8,42,gnn,44,5.469004827318713e-05,0,1.0468545042385813e-05,0
streamspot,0.8,42,gnn,45,9.909451910061762e-05,0,1.235266324783879e-07,0
streamspot,0.8,42,gnn,46,6.542278718768557e-09,0,2.784533541244638e-11,0
streamspot,0.8,42,gnn,47,0.9857295751571655,1,2.5488368919468485e-05,0
